"34209","8600000US34209",35148,16734,47.6,18414,52.4,90.9,1332,3.8,874,2.5,1463,4.2,1589,4.5,1259,3.6,3644,10.4,2812,8,4073,11.6,2868,8.2,3122,8.9,5832,16.6,3795,10.8,2485,7.1,55.9,4792,13.6,31120,88.5,30356,86.4,29556,84.1,14110,40.1,12112,34.5,14396,47.4,15960,52.6,90.2,5463,45.1,6649,54.9,82.2,33980,96.7,1168,3.3,32454,92.3,878,2.5,47,0.1,40,0.1,3,0,0,0,0,0,300,0.9,97,0.3,61,0.2,43,0.1,22,0.1,6,0,56,0.2,15,0,132,0.4,132,0.4,0,0,0,0,0,0,169,0.5,194,0.6,294,0.8,90,0.3,0,0,35148,35148,33582,95.5,1085,3.1,341,1,443,1.3,132,0.4,746,2.1,35148,3356,9.5,365,1,1228,3.5,940,2.7,823,2.3,31792,90.5,30015,85.4,760,2.2,47,0.1,300,0.9,0,0,19,0.1,651,1.9,82,0.2,569,1.6,18536,28940,13574,46.9,15366,53.1
"34210","8600000US34210",16799,7964,47.4,8835,52.6,90.1,704,4.2,342,2,702,4.2,1297,7.7,811,4.8,1674,10,1278,7.6,1793,10.7,1292,7.7,1018,6.1,2546,15.2,2214,13.2,1128,6.7,53.9,2381,14.2,14922,88.8,14418,85.8,13504,80.4,6429,38.3,5888,35,6733,46.7,7685,53.3,87.6,2660,45.2,3228,54.8,82.4,16490,98.2,309,1.8,14470,86.1,1472,8.8,0,0,0,0,0,0,0,0,0,0,482,2.9,185,1.1,187,1.1,24,0.1,6,0,0,0,0,0,80,0.5,0,0,0,0,0,0,0,0,0,0,66,0.4,99,0.6,18,0.1,43,0.3,0,0,16799,16799,14766,87.9,1588,9.5,18,0.1,567,3.4,0,0,204,1.2,16799,1934,11.5,837,5,247,1.5,150,0.9,700,4.2,14865,88.5,12814,76.3,1364,8.1,0,0,482,2.9,0,0,2,0,203,1.2,32,0.2,171,1,11179,13192,6113,46.3,7079,53.7
"34211","8600000US34211",10897,5793,53.2,5104,46.8,113.5,679,6.2,644,5.9,329,3,243,2.2,696,6.4,624,5.7,1620,14.9,749,6.9,698,6.4,921,8.5,2793,25.6,648,5.9,253,2.3,53.7,1723,15.8,9192,84.4,9174,84.2,8900,81.7,4167,38.2,3694,33.9,4971,54.2,4203,45.8,118.3,2379,64.4,1315,35.6,180.9,10334,94.8,563,5.2,9679,88.8,289,2.7,0,0,0,0,0,0,0,0,0,0,233,2.1,131,1.2,27,0.2,36,0.3,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,1.2,164,1.5,0,0,73,0.7,0,0,10897,10897,10242,94,453,4.2,68,0.6,315,2.9,0,0,459,4.2,10897,1027,9.4,190,1.7,186,1.7,0,0,651,6,9870,90.6,9179,84.2,235,2.2,0,0,233,2.1,0,0,0,0,223,2,0,0,223,2,5740,8780,4765,54.3,4015,45.7
"34212","8600000US34212",22119,10402,47,11717,53,88.8,987,4.5,1170,5.3,1732,7.8,1305,5.9,1085,4.9,1405,6.4,2190,9.9,3537,16,2156,9.7,1642,7.4,2785,12.6,1432,6.5,693,3.1,48.7,4669,21.1,17797,80.5,17450,78.9,16727,75.6,5667,25.6,4910,22.2,8016,45.9,9434,54.1,85,2352,47.9,2558,52.1,91.9,21577,97.5,542,2.5,19389,87.7,426,1.9,0,0,0,0,0,0,0,0,0,0,1723,7.8,37,0.2,250,1.1,45,0.2,0,0,36,0.2,1332,6,23,0.1,23,0.1,23,0.1,0,0,0,0,0,0,16,0.1,48,0.2,137,0.6,161,0.7,0,0,22119,22119,19931,90.1,474,2.1,137,0.6,1884,8.5,23,0.1,212,1,22119,2689,12.2,158,0.7,505,2.3,216,1,1810,8.2,19430,87.8,16896,76.4,426,1.9,0,0,1723,7.8,23,0.1,16,0.1,346,1.6,0,0,346,1.6,9409,16105,7650,47.5,8455,52.5
"34215","8600000US34215",633,305,48.2,328,51.8,93,0,0,0,0,14,2.2,14,2.2,31,4.9,24,3.8,111,17.5,55,8.7,49,7.7,72,11.4,94,14.8,169,26.7,0,0,61.6,14,2.2,619,97.8,619,97.8,603,95.3,310,49,263,41.5,305,49.3,314,50.7,97.1,139,52.9,124,47.1,112.1,632,99.8,1,0.2,620,97.9,9,1.4,2,0.3,0,0,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,633,633,621,98.1,10,1.6,2,0.3,1,0.2,0,0,0,0,633,1,0.2,0,0,1,0.2,0,0,0,0,632,99.8,620,97.9,9,1.4,2,0.3,1,0.2,0,0,0,0,0,0,0,0,0,0,525,618,305,49.4,313,50.6
"34216","8600000US34216",1092,475,43.5,617,56.5,77,14,1.3,39,3.6,7,0.6,7,0.6,10,0.9,25,2.3,14,1.3,72,6.6,105,9.6,281,25.7,305,27.9,136,12.5,77,7.1,64.2,67,6.1,1032,94.5,1025,93.9,1025,93.9,666,61,518,47.4,452,44.1,573,55.9,78.9,203,39.2,315,60.8,64.4,1092,100,0,0,1046,95.8,2,0.2,41,3.8,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,1092,1046,95.8,2,0.2,41,3.8,3,0.3,0,0,0,0,1092,12,1.1,1,0.1,0,0,0,0,11,1,1080,98.9,1034,94.7,2,0.2,41,3.8,3,0.3,0,0,0,0,0,0,0,0,0,0,1679,1005,445,44.3,560,55.7
"34217","8600000US34217",5178,2320,44.8,2858,55.2,81.2,91,1.8,46,0.9,186,3.6,27,0.5,106,2,236,4.6,252,4.9,517,10,433,8.4,619,12,1173,22.7,1330,25.7,162,3.1,65.9,336,6.5,4848,93.6,4842,93.5,4774,92.2,3090,59.7,2665,51.5,2279,47.1,2563,52.9,88.9,1191,44.7,1474,55.3,80.8,5173,99.9,5,0.1,5098,98.5,13,0.3,6,0.1,4,0.1,0,0,0,0,0,0,12,0.2,0,0,0,0,8,0.2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,44,0.8,0,0,3,0.1,0,0,0,0,5178,5178,5103,98.6,13,0.3,9,0.2,12,0.2,0,0,46,0.9,5178,143,2.8,31,0.6,15,0.3,7,0.1,90,1.7,5035,97.2,5001,96.6,13,0.3,6,0.1,12,0.2,0,0,0,0,3,0.1,0,0,3,0.1,6632,4648,2194,47.2,2454,52.8
"34219","8600000US34219",23970,11931,49.8,12039,50.2,99.1,1148,4.8,1267,5.3,1392,5.8,1159,4.8,1044,4.4,2301,9.6,2837,11.8,3533,14.7,1650,6.9,1657,6.9,3961,16.5,1677,7,344,1.4,47.8,4546,19,19869,82.9,19424,81,18748,78.2,7067,29.5,5982,25,9534,49.1,9890,50.9,96.4,2908,48.6,3074,51.4,94.6,23091,96.3,879,3.7,21514,89.8,646,2.7,0,0,0,0,0,0,0,0,0,0,674,2.8,118,0.5,174,0.7,169,0.7,9,0,0,0,106,0.4,98,0.4,0,0,0,0,0,0,0,0,0,0,257,1.1,213,0.9,65,0.3,302,1.3,0,0,23970,23970,22305,93.1,957,4,144,0.6,997,4.2,0,0,535,2.2,23970,2404,10,439,1.8,1017,4.2,219,0.9,729,3,21566,90,19646,82,628,2.6,0,0,646,2.7,0,0,22,0.1,624,2.6,77,0.3,547,2.3,9838,18957,9366,49.4,9591,50.6
"34221","8600000US34221",50857,24972,49.1,25885,50.9,96.5,2248,4.4,3150,6.2,2486,4.9,2322,4.6,2637,5.2,5895,11.6,5723,11.3,6195,12.2,3301,6.5,4077,8,6944,13.7,4452,8.8,1427,2.8,46.8,9577,18.8,42305,83.2,41280,81.2,39968,78.6,15422,30.3,12823,25.2,20682,50.1,20598,49.9,100.4,5854,45.7,6969,54.3,84,48886,96.1,1971,3.9,38341,75.4,8668,17,136,0.3,13,0,7,0,0,0,0,0,532,1,55,0.1,84,0.2,67,0.1,0,0,6,0,176,0.3,144,0.3,0,0,0,0,0,0,0,0,0,0,1209,2.4,540,1.1,139,0.3,185,0.4,31,0.1,50857,50857,40242,79.1,9375,18.4,447,0.9,761,1.5,98,0.2,2046,4,50857,8602,16.9,6337,12.5,1125,2.2,517,1,623,1.2,42255,83.1,32015,63,8459,16.6,136,0.3,506,1,0,0,84,0.2,1055,2.1,0,0,1055,2.1,22155,38165,19073,50,19092,50
"34222","8600000US34222",12466,5815,46.6,6651,53.4,87.4,409,3.3,513,4.1,754,6,693,5.6,508,4.1,805,6.5,1077,8.6,1519,12.2,1138,9.1,761,6.1,2323,18.6,1473,11.8,493,4,54.8,2172,17.4,10671,85.6,10294,82.6,9975,80,4773,38.3,4289,34.4,4469,43.4,5825,56.6,76.7,1938,45.2,2351,54.8,82.4,11706,93.9,760,6.1,10280,82.5,705,5.7,21,0.2,0,0,0,0,0,0,0,0,133,1.1,63,0.5,11,0.1,0,0,0,0,0,0,25,0.2,34,0.3,0,0,0,0,0,0,0,0,0,0,567,4.5,100,0.8,74,0.6,36,0.3,0,0,12466,12466,10875,87.2,970,7.8,95,0.8,169,1.4,0,0,1117,9,12466,1921,15.4,440,3.5,483,3.9,209,1.7,789,6.3,10545,84.6,9332,74.9,695,5.6,21,0.2,133,1.1,0,0,129,1,235,1.9,25,0.2,210,1.7,7399,9969,4364,43.8,5605,56.2
"34228","8600000US34228",7299,3500,48,3799,52,92.1,0,0,10,0.1,48,0.7,37,0.5,74,1,94,1.3,286,3.9,328,4.5,434,5.9,964,13.2,2330,31.9,2059,28.2,635,8.7,71.3,80,1.1,7230,99.1,7219,98.9,7204,98.7,5677,77.8,5024,68.8,3453,47.8,3766,52.2,91.7,2538,50.5,2486,49.5,102.1,7186,98.5,113,1.5,7092,97.2,12,0.2,19,0.3,0,0,0,0,0,0,0,0,63,0.9,22,0.3,22,0.3,11,0.2,0,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1.2,0,0,7299,7299,7205,98.7,12,0.2,19,0.3,147,2,0,0,29,0.4,7299,163,2.2,19,0.3,45,0.6,21,0.3,78,1.1,7136,97.8,6958,95.3,12,0.2,19,0.3,63,0.9,0,0,0,0,84,1.2,0,0,84,1.2,9174,6840,3307,48.3,3533,51.7
"34240","8600000US34240",12143,6125,50.4,6018,49.6,101.8,734,6,571,4.7,832,6.9,624,5.1,466,3.8,604,5,1062,8.7,1871,15.4,1089,9,947,7.8,2254,18.6,792,6.5,297,2.4,51.7,2589,21.3,9871,81.3,9554,78.7,9303,76.6,3870,31.9,3343,27.5,4645,48.6,4909,51.4,94.6,1797,53.8,1546,46.2,116.2,12038,99.1,105,0.9,11607,95.6,124,1,18,0.1,0,0,18,0.1,0,0,0,0,289,2.4,97,0.8,20,0.2,28,0.2,10,0.1,17,0.1,117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0.4,12,0.1,0,0,0,0,12143,12143,11712,96.5,193,1.6,30,0.2,289,2.4,0,0,40,0.3,12143,301,2.5,137,1.1,49,0.4,20,0.2,95,0.8,11842,97.5,11364,93.6,124,1,18,0.1,289,2.4,0,0,0,0,47,0.4,0,0,47,0.4,5939,9320,4526,48.6,4794,51.4
"34243","8600000US34243",31700,14768,46.6,16932,53.4,87.2,1349,4.3,1609,5.1,917,2.9,1676,5.3,1637,5.2,3618,11.4,2615,8.2,3299,10.4,2274,7.2,2544,8,5269,16.6,3755,11.8,1138,3.6,52.6,4785,15.1,27574,87,26915,84.9,25725,81.2,11688,36.9,10162,32.1,12260,45.6,14655,54.4,83.7,4458,43.9,5704,56.1,78.2,30653,96.7,1047,3.3,27748,87.5,1588,5,25,0.1,0,0,0,0,0,0,0,0,974,3.1,304,1,68,0.2,12,0,0,0,108,0.3,312,1,170,0.5,29,0.1,0,0,29,0.1,0,0,0,0,289,0.9,432,1.4,54,0.2,26,0.1,0,0,31700,31700,28795,90.8,2062,6.5,136,0.4,1015,3.2,29,0.1,767,2.4,31700,3036,9.6,931,2.9,366,1.2,337,1.1,1402,4.4,28664,90.4,25401,80.1,1559,4.9,7,0,974,3.1,29,0.1,45,0.1,649,2,80,0.3,569,1.8,15397,25807,11798,45.7,14009,54.3
"34251","8600000US34251",7586,4182,55.1,3404,44.9,122.9,307,4,351,4.6,604,8,883,11.6,589,7.8,621,8.2,767,10.1,1361,17.9,753,9.9,503,6.6,619,8.2,167,2.2,61,0.8,41.7,1885,24.8,6025,79.4,5701,75.2,5190,68.4,1138,15,847,11.2,2871,50.4,2830,49.6,101.4,484,57.1,363,42.9,133.3,7377,97.2,209,2.8,7146,94.2,141,1.9,0,0,0,0,0,0,0,0,0,0,90,1.2,29,0.4,22,0.3,0,0,0,0,0,0,15,0.2,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,14,0.2,9,0.1,0,0,0,0,7586,7586,7335,96.7,155,2,9,0.1,110,1.5,20,0.3,166,2.2,7586,988,13,366,4.8,186,2.5,0,0,436,5.7,6598,87,6275,82.7,141,1.9,0,0,90,1.2,0,0,0,0,92,1.2,49,0.6,43,0.6,2374,5630,2825,50.2,2805,49.8
"34223","8600000US34223",18500,9063,49,9437,51,96,252,1.4,433,2.3,433,2.3,220,1.2,306,1.7,845,4.6,811,4.4,1319,7.1,1362,7.4,1924,10.4,4998,27,4126,22.3,1471,8,68,1259,6.8,17343,93.7,17241,93.2,17107,92.5,11801,63.8,10595,57.3,8238,47.8,9003,52.2,91.5,5150,48.6,5445,51.4,94.6,18188,98.3,312,1.7,17688,95.6,6,0,0,0,0,0,0,0,0,0,0,0,445,2.4,0,0,207,1.1,142,0.8,30,0.2,29,0.2,0,0,37,0.2,9,0,9,0,0,0,0,0,0,0,40,0.2,18,0.1,59,0.3,115,0.6,0,0,18500,18500,18000,97.3,24,0.1,59,0.3,560,3,14,0.1,155,0.8,18500,671,3.6,41,0.2,38,0.2,401,2.2,191,1,17829,96.4,17138,92.6,6,0,0,0,445,2.4,9,0,17,0.1,214,1.2,17,0.1,197,1.1,14012,16580,7964,48,8616,52
"34224","8600000US34224",16369,7853,48,8516,52,92.2,373,2.3,440,2.7,446,2.7,642,3.9,702,4.3,799,4.9,906,5.5,1619,9.9,1434,8.8,1537,9.4,3567,21.8,2840,17.3,1064,6.5,62.6,1527,9.3,15094,92.2,14842,90.7,14364,87.8,8372,51.1,7471,45.6,7101,47.8,7741,52.2,91.7,3795,50.8,3676,49.2,103.2,15835,96.7,534,3.3,15539,94.9,3,0,32,0.2,0,0,0,0,0,0,0,0,228,1.4,29,0.2,17,0.1,182,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.2,21,0.1,236,1.4,47,0.3,0,0,16369,16369,15999,97.7,114,0.7,284,1.7,414,2.5,78,0.5,95,0.6,16369,597,3.6,217,1.3,63,0.4,245,1.5,72,0.4,15772,96.4,15026,91.8,3,0,22,0.1,228,1.4,0,0,21,0.1,472,2.9,0,0,472,2.9,10913,14435,6818,47.2,7617,52.8
"34228","8600000US34228",7299,3500,48,3799,52,92.1,0,0,10,0.1,48,0.7,37,0.5,74,1,94,1.3,286,3.9,328,4.5,434,5.9,964,13.2,2330,31.9,2059,28.2,635,8.7,71.3,80,1.1,7230,99.1,7219,98.9,7204,98.7,5677,77.8,5024,68.8,3453,47.8,3766,52.2,91.7,2538,50.5,2486,49.5,102.1,7186,98.5,113,1.5,7092,97.2,12,0.2,19,0.3,0,0,0,0,0,0,0,0,63,0.9,22,0.3,22,0.3,11,0.2,0,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1.2,0,0,7299,7299,7205,98.7,12,0.2,19,0.3,147,2,0,0,29,0.4,7299,163,2.2,19,0.3,45,0.6,21,0.3,78,1.1,7136,97.8,6958,95.3,12,0.2,19,0.3,63,0.9,0,0,0,0,84,1.2,0,0,84,1.2,9174,6840,3307,48.3,3533,51.7
"34229","8600000US34229",7934,3718,46.9,4216,53.1,88.2,366,4.6,413,5.2,174,2.2,256,3.2,150,1.9,435,5.5,291,3.7,961,12.1,819,10.3,530,6.7,1525,19.2,1365,17.2,649,8.2,61.3,1169,14.7,6941,87.5,6765,85.3,6663,84,3863,48.7,3539,44.6,3146,46.5,3619,53.5,86.9,1654,46.7,1885,53.3,87.7,7825,98.6,109,1.4,7750,97.7,56,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0.2,0,0,109,1.4,0,0,0,0,7934,7934,7859,99.1,56,0.7,109,1.4,0,0,0,0,19,0.2,7934,302,3.8,22,0.3,16,0.2,0,0,264,3.3,7632,96.2,7448,93.9,56,0.7,0,0,0,0,0,0,19,0.2,109,1.4,0,0,109,1.4,4643,6156,3017,49,3139,51
"34231","8600000US34231",32762,15390,47,17372,53,88.6,973,3,1599,4.9,1641,5,1514,4.6,1131,3.5,2987,9.1,3844,11.7,3922,12,2418,7.4,2368,7.2,4158,12.7,3812,11.6,2395,7.3,51.9,5349,16.3,28040,85.6,27413,83.7,26896,82.1,11750,35.9,10365,31.6,12720,46.4,14693,53.6,86.6,4180,40.3,6185,59.7,67.6,31746,96.9,1016,3.1,29999,91.6,697,2.1,114,0.3,20,0.1,0,0,0,0,0,0,396,1.2,69,0.2,169,0.5,62,0.2,8,0,62,0.2,15,0,11,0,12,0,0,0,0,0,0,0,12,0,528,1.6,80,0.2,92,0.3,126,0.4,0,0,32762,32762,31006,94.6,806,2.5,235,0.7,531,1.6,12,0,1217,3.7,32762,3121,9.5,904,2.8,270,0.8,164,0.5,1783,5.4,29641,90.5,28117,85.8,697,2.1,55,0.2,385,1.2,0,0,60,0.2,327,1,0,0,327,1,18991,25957,12023,46.3,13934,53.7
"34232","8600000US34232",35486,16967,47.8,18519,52.2,91.6,1483,4.2,1632,4.6,1890,5.3,1833,5.2,1861,5.2,4501,12.7,4065,11.5,4060,11.4,2953,8.3,2710,7.6,4183,11.8,2641,7.4,1674,4.7,46.1,6129,17.3,30006,84.6,29357,82.7,28284,79.7,10038,28.3,8498,23.9,13757,46.9,15600,53.1,88.2,3405,40.1,5093,59.9,66.9,34370,96.9,1116,3.1,32003,90.2,1112,3.1,34,0.1,9,0,0,0,0,0,0,0,607,1.7,59,0.2,134,0.4,44,0.1,0,0,15,0,312,0.9,43,0.1,0,0,0,0,0,0,0,0,0,0,614,1.7,169,0.5,151,0.4,123,0.3,0,0,35486,35486,33119,93.3,1291,3.6,190,0.5,740,2.1,9,0,1268,3.6,35486,5449,15.4,2052,5.8,495,1.4,1426,4,1476,4.2,30037,84.6,27793,78.3,1080,3,31,0.1,591,1.7,0,0,101,0.3,441,1.2,59,0.2,382,1.1,16061,27247,12802,47,14445,53
"34233","8600000US34233",18560,8609,46.4,9951,53.6,86.5,682,3.7,926,5,979,5.3,906,4.9,638,3.4,1924,10.4,1697,9.1,2231,12,1534,8.3,1239,6.7,2656,14.3,1718,9.3,1430,7.7,52.7,3254,17.5,15579,83.9,15306,82.5,14966,80.6,6488,35,5804,31.3,7040,46,8266,54,85.2,2329,40.1,3475,59.9,67,18039,97.2,521,2.8,16963,91.4,291,1.6,0,0,0,0,0,0,0,0,0,0,448,2.4,40,0.2,0,0,0,0,32,0.2,0,0,265,1.4,111,0.6,0,0,0,0,0,0,0,0,0,0,337,1.8,162,0.9,11,0.1,20,0.1,0,0,18560,18560,17464,94.1,453,2.4,11,0.1,468,2.5,66,0.4,665,3.6,18560,2699,14.5,662,3.6,438,2.4,647,3.5,952,5.1,15861,85.5,15105,81.4,202,1.1,0,0,448,2.4,0,0,16,0.1,90,0.5,0,0,90,0.5,9235,14515,6638,45.7,7877,54.3
